"Step","experiment_12 - Training Loss / Step","experiment_12 - Training Loss / Step__MIN","experiment_12 - Training Loss / Step__MAX","experiment_11 - Training Loss / Step","experiment_11 - Training Loss / Step__MIN","experiment_11 - Training Loss / Step__MAX","experiment_10 - Training Loss / Step","experiment_10 - Training Loss / Step__MIN","experiment_10 - Training Loss / Step__MAX","experiment_9 - Training Loss / Step","experiment_9 - Training Loss / Step__MIN","experiment_9 - Training Loss / Step__MAX","experiment_8 - Training Loss / Step","experiment_8 - Training Loss / Step__MIN","experiment_8 - Training Loss / Step__MAX","experiment_7 - Training Loss / Step","experiment_7 - Training Loss / Step__MIN","experiment_7 - Training Loss / Step__MAX","experiment_6 - Training Loss / Step","experiment_6 - Training Loss / Step__MIN","experiment_6 - Training Loss / Step__MAX","experiment_5 - Training Loss / Step","experiment_5 - Training Loss / Step__MIN","experiment_5 - Training Loss / Step__MAX","experiment_4 - Training Loss / Step","experiment_4 - Training Loss / Step__MIN","experiment_4 - Training Loss / Step__MAX","experiment_3 - Training Loss / Step","experiment_3 - Training Loss / Step__MIN","experiment_3 - Training Loss / Step__MAX"
"0","4.679300308227539","4.679300308227539","4.679300308227539","4.484755992889404","4.484755992889404","4.484755992889404","5.1033935546875","5.1033935546875","5.1033935546875","4.617597579956055","4.617597579956055","4.617597579956055","4.847216606140137","4.847216606140137","4.847216606140137","4.761073112487793","4.761073112487793","4.761073112487793","4.453099250793457","4.453099250793457","4.453099250793457","4.4542388916015625","4.4542388916015625","4.4542388916015625","4.601493835449219","4.601493835449219","4.601493835449219","4.699074745178223","4.699074745178223","4.699074745178223"
"6","4.88081169128418","4.88081169128418","4.88081169128418","4.6209845542907715","4.6209845542907715","4.6209845542907715","4.564576148986816","4.564576148986816","4.564576148986816","4.81749153137207","4.81749153137207","4.81749153137207","4.575789451599121","4.575789451599121","4.575789451599121","4.655895709991455","4.655895709991455","4.655895709991455","4.708930492401123","4.708930492401123","4.708930492401123","4.693508148193359","4.693508148193359","4.693508148193359","4.5837554931640625","4.5837554931640625","4.5837554931640625","4.607675552368164","4.607675552368164","4.607675552368164"
"12","4.812641143798828","4.812641143798828","4.812641143798828","4.598975658416748","4.598975658416748","4.598975658416748","4.334290504455566","4.334290504455566","4.334290504455566","4.546063423156738","4.546063423156738","4.546063423156738","4.3714189529418945","4.3714189529418945","4.3714189529418945","4.814429759979248","4.814429759979248","4.814429759979248","4.4894304275512695","4.4894304275512695","4.4894304275512695","4.567895889282227","4.567895889282227","4.567895889282227","4.511113166809082","4.511113166809082","4.511113166809082","4.633166313171387","4.633166313171387","4.633166313171387"
"18","4.437399864196777","4.437399864196777","4.437399864196777","4.2323408126831055","4.2323408126831055","4.2323408126831055","4.307859897613525","4.307859897613525","4.307859897613525","4.274853706359863","4.274853706359863","4.274853706359863","4.610882759094238","4.610882759094238","4.610882759094238","4.393301010131836","4.393301010131836","4.393301010131836","4.385107040405273","4.385107040405273","4.385107040405273","4.502215385437012","4.502215385437012","4.502215385437012","4.508404731750488","4.508404731750488","4.508404731750488","4.425337791442871","4.425337791442871","4.425337791442871"
"24","4.98760986328125","4.98760986328125","4.98760986328125","4.476548194885254","4.476548194885254","4.476548194885254","4.370023727416992","4.370023727416992","4.370023727416992","4.588012218475342","4.588012218475342","4.588012218475342","4.342182636260986","4.342182636260986","4.342182636260986","4.478400230407715","4.478400230407715","4.478400230407715","4.618608474731445","4.618608474731445","4.618608474731445","4.650716304779053","4.650716304779053","4.650716304779053","4.54266357421875","4.54266357421875","4.54266357421875","4.527966499328613","4.527966499328613","4.527966499328613"
"30","4.353910446166992","4.353910446166992","4.353910446166992","4.911043167114258","4.911043167114258","4.911043167114258","3.9461216926574707","3.9461216926574707","3.9461216926574707","4.505402565002441","4.505402565002441","4.505402565002441","4.59536600112915","4.59536600112915","4.59536600112915","4.617513656616211","4.617513656616211","4.617513656616211","4.723687648773193","4.723687648773193","4.723687648773193","4.4027204513549805","4.4027204513549805","4.4027204513549805","4.45229959487915","4.45229959487915","4.45229959487915","4.572159290313721","4.572159290313721","4.572159290313721"
"36","4.038444519042969","4.038444519042969","4.038444519042969","4.798934459686279","4.798934459686279","4.798934459686279","4.153195381164551","4.153195381164551","4.153195381164551","4.578385353088379","4.578385353088379","4.578385353088379","4.5941362380981445","4.5941362380981445","4.5941362380981445","4.495941162109375","4.495941162109375","4.495941162109375","4.197958946228027","4.197958946228027","4.197958946228027","4.131772041320801","4.131772041320801","4.131772041320801","4.31915807723999","4.31915807723999","4.31915807723999","4.16487455368042","4.16487455368042","4.16487455368042"
"42","4.337883949279785","4.337883949279785","4.337883949279785","4.760316371917725","4.760316371917725","4.760316371917725","4.138854026794434","4.138854026794434","4.138854026794434","4.046667098999023","4.046667098999023","4.046667098999023","4.45620059967041","4.45620059967041","4.45620059967041","4.168442726135254","4.168442726135254","4.168442726135254","4.859660625457764","4.859660625457764","4.859660625457764","4.432353973388672","4.432353973388672","4.432353973388672","4.237703800201416","4.237703800201416","4.237703800201416","3.944161891937256","3.944161891937256","3.944161891937256"
"48","4.191154479980469","4.191154479980469","4.191154479980469","4.123653888702393","4.123653888702393","4.123653888702393","4.35139274597168","4.35139274597168","4.35139274597168","4.046509742736816","4.046509742736816","4.046509742736816","4.462982177734375","4.462982177734375","4.462982177734375","4.369229316711426","4.369229316711426","4.369229316711426","4.491446018218994","4.491446018218994","4.491446018218994","3.887674331665039","3.887674331665039","3.887674331665039","4.146044731140137","4.146044731140137","4.146044731140137","4.349865436553955","4.349865436553955","4.349865436553955"
"54","4.104841232299805","4.104841232299805","4.104841232299805","4.531627655029297","4.531627655029297","4.531627655029297","3.98429012298584","3.98429012298584","3.98429012298584","4.264301300048828","4.264301300048828","4.264301300048828","4.658974647521973","4.658974647521973","4.658974647521973","4.25984001159668","4.25984001159668","4.25984001159668","3.875094413757324","3.875094413757324","3.875094413757324","3.747802734375","3.747802734375","3.747802734375","4.308843612670898","4.308843612670898","4.308843612670898","4.6323065757751465","4.6323065757751465","4.6323065757751465"
"60","4.032853126525879","4.032853126525879","4.032853126525879","4.15483283996582","4.15483283996582","4.15483283996582","4.370060920715332","4.370060920715332","4.370060920715332","3.6297099590301514","3.6297099590301514","3.6297099590301514","4.629057884216309","4.629057884216309","4.629057884216309","4.425146102905273","4.425146102905273","4.425146102905273","4.087002277374268","4.087002277374268","4.087002277374268","4.193390846252441","4.193390846252441","4.193390846252441","4.229203224182129","4.229203224182129","4.229203224182129","4.386049270629883","4.386049270629883","4.386049270629883"
"66","4.361125946044922","4.361125946044922","4.361125946044922","4.015803813934326","4.015803813934326","4.015803813934326","4.529012680053711","4.529012680053711","4.529012680053711","3.7532694339752197","3.7532694339752197","3.7532694339752197","4.053884983062744","4.053884983062744","4.053884983062744","4.531607627868652","4.531607627868652","4.531607627868652","3.8367600440979004","3.8367600440979004","3.8367600440979004","3.920032024383545","3.920032024383545","3.920032024383545","3.8432881832122803","3.8432881832122803","3.8432881832122803","4.0457963943481445","4.0457963943481445","4.0457963943481445"
"72","4.498088359832764","4.498088359832764","4.498088359832764","4.438535690307617","4.438535690307617","4.438535690307617","3.949946165084839","3.949946165084839","3.949946165084839","3.6300806999206543","3.6300806999206543","3.6300806999206543","3.9782254695892334","3.9782254695892334","3.9782254695892334","4.096457004547119","4.096457004547119","4.096457004547119","3.9180939197540283","3.9180939197540283","3.9180939197540283","4.2377495765686035","4.2377495765686035","4.2377495765686035","3.7298402786254883","3.7298402786254883","3.7298402786254883","4.307666301727295","4.307666301727295","4.307666301727295"
"78","3.827418088912964","3.827418088912964","3.827418088912964","4.338823318481445","4.338823318481445","4.338823318481445","4.638432502746582","4.638432502746582","4.638432502746582","4.276318073272705","4.276318073272705","4.276318073272705","4.118643760681152","4.118643760681152","4.118643760681152","3.7064075469970703","3.7064075469970703","3.7064075469970703","4.306610584259033","4.306610584259033","4.306610584259033","4.2926554679870605","4.2926554679870605","4.2926554679870605","4.54792594909668","4.54792594909668","4.54792594909668","4.344869136810303","4.344869136810303","4.344869136810303"
"84","4.1055426597595215","4.1055426597595215","4.1055426597595215","4.166271209716797","4.166271209716797","4.166271209716797","4.228404998779297","4.228404998779297","4.228404998779297","4.114535331726074","4.114535331726074","4.114535331726074","4.050079345703125","4.050079345703125","4.050079345703125","4.069214820861816","4.069214820861816","4.069214820861816","4.052798271179199","4.052798271179199","4.052798271179199","3.660750389099121","3.660750389099121","3.660750389099121","3.677555561065674","3.677555561065674","3.677555561065674","4.401035785675049","4.401035785675049","4.401035785675049"
"90","4.389004230499268","4.389004230499268","4.389004230499268","4.308073997497559","4.308073997497559","4.308073997497559","3.574183225631714","3.574183225631714","3.574183225631714","3.884756565093994","3.884756565093994","3.884756565093994","4.2551374435424805","4.2551374435424805","4.2551374435424805","3.9861888885498047","3.9861888885498047","3.9861888885498047","4.512964725494385","4.512964725494385","4.512964725494385","4.158490180969238","4.158490180969238","4.158490180969238","4.336973667144775","4.336973667144775","4.336973667144775","4.305182456970215","4.305182456970215","4.305182456970215"
"96","4.416162967681885","4.416162967681885","4.416162967681885","3.410642623901367","3.410642623901367","3.410642623901367","3.820955991744995","3.820955991744995","3.820955991744995","3.6175122261047363","3.6175122261047363","3.6175122261047363","4.228862762451172","4.228862762451172","4.228862762451172","4.314231872558594","4.314231872558594","4.314231872558594","4.0880842208862305","4.0880842208862305","4.0880842208862305","3.441439628601074","3.441439628601074","3.441439628601074","3.9983785152435303","3.9983785152435303","3.9983785152435303","3.802361249923706","3.802361249923706","3.802361249923706"
"102","4.47334098815918","4.47334098815918","4.47334098815918","4.075830459594727","4.075830459594727","4.075830459594727","4.249668121337891","4.249668121337891","4.249668121337891","4.240701675415039","4.240701675415039","4.240701675415039","4.130034446716309","4.130034446716309","4.130034446716309","4.408825874328613","4.408825874328613","4.408825874328613","4.275458335876465","4.275458335876465","4.275458335876465","3.784597635269165","3.784597635269165","3.784597635269165","4.220021724700928","4.220021724700928","4.220021724700928","4.2754316329956055","4.2754316329956055","4.2754316329956055"
"108","4.578929901123047","4.578929901123047","4.578929901123047","4.097192764282227","4.097192764282227","4.097192764282227","4.643333435058594","4.643333435058594","4.643333435058594","3.542844772338867","3.542844772338867","3.542844772338867","4.056528568267822","4.056528568267822","4.056528568267822","3.970388412475586","3.970388412475586","3.970388412475586","4.422751426696777","4.422751426696777","4.422751426696777","4.306817054748535","4.306817054748535","4.306817054748535","4.0797810554504395","4.0797810554504395","4.0797810554504395","4.398056983947754","4.398056983947754","4.398056983947754"
"114","3.677375078201294","3.677375078201294","3.677375078201294","4.18686056137085","4.18686056137085","4.18686056137085","3.5128369331359863","3.5128369331359863","3.5128369331359863","3.7997829914093018","3.7997829914093018","3.7997829914093018","4.3191022872924805","4.3191022872924805","4.3191022872924805","4.0443010330200195","4.0443010330200195","4.0443010330200195","3.8485164642333984","3.8485164642333984","3.8485164642333984","3.6622867584228516","3.6622867584228516","3.6622867584228516","3.989098072052002","3.989098072052002","3.989098072052002","4.224470138549805","4.224470138549805","4.224470138549805"
"120","4.109653472900391","4.109653472900391","4.109653472900391","4.351554870605469","4.351554870605469","4.351554870605469","4.176021099090576","4.176021099090576","4.176021099090576","4.048488616943359","4.048488616943359","4.048488616943359","4.14253568649292","4.14253568649292","4.14253568649292","4.023991584777832","4.023991584777832","4.023991584777832","4.016643524169922","4.016643524169922","4.016643524169922","4.240671157836914","4.240671157836914","4.240671157836914","3.7623538970947266","3.7623538970947266","3.7623538970947266","4.5089569091796875","4.5089569091796875","4.5089569091796875"
"126","4.1834001541137695","4.1834001541137695","4.1834001541137695","4.058669090270996","4.058669090270996","4.058669090270996","4.316522598266602","4.316522598266602","4.316522598266602","4.456219673156738","4.456219673156738","4.456219673156738","4.097357749938965","4.097357749938965","4.097357749938965","3.9804983139038086","3.9804983139038086","3.9804983139038086","3.9477035999298096","3.9477035999298096","3.9477035999298096","3.891964912414551","3.891964912414551","3.891964912414551","4.021010875701904","4.021010875701904","4.021010875701904","3.6960949897766113","3.6960949897766113","3.6960949897766113"
"132","3.686306953430176","3.686306953430176","3.686306953430176","3.9509963989257812","3.9509963989257812","3.9509963989257812","3.444042682647705","3.444042682647705","3.444042682647705","3.483379364013672","3.483379364013672","3.483379364013672","3.784651041030884","3.784651041030884","3.784651041030884","3.6761889457702637","3.6761889457702637","3.6761889457702637","3.611631155014038","3.611631155014038","3.611631155014038","3.487569808959961","3.487569808959961","3.487569808959961","3.563554048538208","3.563554048538208","3.563554048538208","4.092483997344971","4.092483997344971","4.092483997344971"
"138","3.818387985229492","3.818387985229492","3.818387985229492","4.146329879760742","4.146329879760742","4.146329879760742","3.7291014194488525","3.7291014194488525","3.7291014194488525","4.021720886230469","4.021720886230469","4.021720886230469","4.064846992492676","4.064846992492676","4.064846992492676","4.208588600158691","4.208588600158691","4.208588600158691","3.916930675506592","3.916930675506592","3.916930675506592","3.7467665672302246","3.7467665672302246","3.7467665672302246","4.434289932250977","4.434289932250977","4.434289932250977","3.964510917663574","3.964510917663574","3.964510917663574"
"144","4.079762935638428","4.079762935638428","4.079762935638428","3.8210911750793457","3.8210911750793457","3.8210911750793457","3.7986390590667725","3.7986390590667725","3.7986390590667725","3.4688596725463867","3.4688596725463867","3.4688596725463867","3.457550525665283","3.457550525665283","3.457550525665283","3.4361164569854736","3.4361164569854736","3.4361164569854736","4.618904113769531","4.618904113769531","4.618904113769531","3.8064186573028564","3.8064186573028564","3.8064186573028564","3.87740421295166","3.87740421295166","3.87740421295166","4.724024772644043","4.724024772644043","4.724024772644043"
"150","4.43440580368042","4.43440580368042","4.43440580368042","3.8939499855041504","3.8939499855041504","3.8939499855041504","3.274090051651001","3.274090051651001","3.274090051651001","4.010443210601807","4.010443210601807","4.010443210601807","2.8898465633392334","2.8898465633392334","2.8898465633392334","4.272084712982178","4.272084712982178","4.272084712982178","3.76712703704834","3.76712703704834","3.76712703704834","3.908071994781494","3.908071994781494","3.908071994781494","3.6845827102661133","3.6845827102661133","3.6845827102661133","4.198115348815918","4.198115348815918","4.198115348815918"
"156","3.7688488960266113","3.7688488960266113","3.7688488960266113","3.433553695678711","3.433553695678711","3.433553695678711","3.601027011871338","3.601027011871338","3.601027011871338","4.013629913330078","4.013629913330078","4.013629913330078","3.965048313140869","3.965048313140869","3.965048313140869","3.953618288040161","3.953618288040161","3.953618288040161","3.281088352203369","3.281088352203369","3.281088352203369","4.034090518951416","4.034090518951416","4.034090518951416","4.031526565551758","4.031526565551758","4.031526565551758","3.9095754623413086","3.9095754623413086","3.9095754623413086"
"162","4.04498815536499","4.04498815536499","4.04498815536499","3.9253649711608887","3.9253649711608887","3.9253649711608887","3.174015522003174","3.174015522003174","3.174015522003174","3.4452309608459473","3.4452309608459473","3.4452309608459473","3.8668651580810547","3.8668651580810547","3.8668651580810547","3.7279863357543945","3.7279863357543945","3.7279863357543945","3.8944876194000244","3.8944876194000244","3.8944876194000244","3.78233003616333","3.78233003616333","3.78233003616333","4.376701354980469","4.376701354980469","4.376701354980469","4.229434013366699","4.229434013366699","4.229434013366699"
"168","4.016864776611328","4.016864776611328","4.016864776611328","3.5541791915893555","3.5541791915893555","3.5541791915893555","3.7942399978637695","3.7942399978637695","3.7942399978637695","3.5043106079101562","3.5043106079101562","3.5043106079101562","3.6988635063171387","3.6988635063171387","3.6988635063171387","4.583101272583008","4.583101272583008","4.583101272583008","3.519505739212036","3.519505739212036","3.519505739212036","3.7075443267822266","3.7075443267822266","3.7075443267822266","3.149874687194824","3.149874687194824","3.149874687194824","3.5802297592163086","3.5802297592163086","3.5802297592163086"
"174","3.5975289344787598","3.5975289344787598","3.5975289344787598","3.7885193824768066","3.7885193824768066","3.7885193824768066","4.047096252441406","4.047096252441406","4.047096252441406","3.550304412841797","3.550304412841797","3.550304412841797","3.5075464248657227","3.5075464248657227","3.5075464248657227","4.500693321228027","4.500693321228027","4.500693321228027","3.784428119659424","3.784428119659424","3.784428119659424","3.3675711154937744","3.3675711154937744","3.3675711154937744","3.7334983348846436","3.7334983348846436","3.7334983348846436","3.79951810836792","3.79951810836792","3.79951810836792"
"180","3.9296140670776367","3.9296140670776367","3.9296140670776367","3.683443546295166","3.683443546295166","3.683443546295166","3.1505870819091797","3.1505870819091797","3.1505870819091797","4.000543594360352","4.000543594360352","4.000543594360352","3.533735752105713","3.533735752105713","3.533735752105713","3.9831809997558594","3.9831809997558594","3.9831809997558594","3.422184467315674","3.422184467315674","3.422184467315674","4.176934242248535","4.176934242248535","4.176934242248535","3.901704788208008","3.901704788208008","3.901704788208008","3.0936834812164307","3.0936834812164307","3.0936834812164307"
"186","4.098557472229004","4.098557472229004","4.098557472229004","3.798745632171631","3.798745632171631","3.798745632171631","3.5403170585632324","3.5403170585632324","3.5403170585632324","3.739614725112915","3.739614725112915","3.739614725112915","3.477250337600708","3.477250337600708","3.477250337600708","4.225728988647461","4.225728988647461","4.225728988647461","3.620572090148926","3.620572090148926","3.620572090148926","3.861651659011841","3.861651659011841","3.861651659011841","3.7031798362731934","3.7031798362731934","3.7031798362731934","3.813335657119751","3.813335657119751","3.813335657119751"
"192","3.992262840270996","3.992262840270996","3.992262840270996","3.893895149230957","3.893895149230957","3.893895149230957","4.187327861785889","4.187327861785889","4.187327861785889","4.152652740478516","4.152652740478516","4.152652740478516","4.149371147155762","4.149371147155762","4.149371147155762","3.412989377975464","3.412989377975464","3.412989377975464","3.2076501846313477","3.2076501846313477","3.2076501846313477","3.322955369949341","3.322955369949341","3.322955369949341","4.1212005615234375","4.1212005615234375","4.1212005615234375","3.691133975982666","3.691133975982666","3.691133975982666"
"198","3.8390045166015625","3.8390045166015625","3.8390045166015625","4.11104679107666","4.11104679107666","4.11104679107666","4.042270660400391","4.042270660400391","4.042270660400391","3.876746654510498","3.876746654510498","3.876746654510498","2.8143811225891113","2.8143811225891113","2.8143811225891113","3.4745378494262695","3.4745378494262695","3.4745378494262695","3.653055429458618","3.653055429458618","3.653055429458618","3.9252266883850098","3.9252266883850098","3.9252266883850098","3.822910785675049","3.822910785675049","3.822910785675049","4.275357723236084","4.275357723236084","4.275357723236084"
"204","2.854732036590576","2.854732036590576","2.854732036590576","4.221271514892578","4.221271514892578","4.221271514892578","4.191349983215332","4.191349983215332","4.191349983215332","3.958789348602295","3.958789348602295","3.958789348602295","3.9666919708251953","3.9666919708251953","3.9666919708251953","3.173069477081299","3.173069477081299","3.173069477081299","4.366317272186279","4.366317272186279","4.366317272186279","3.9568779468536377","3.9568779468536377","3.9568779468536377","3.9376461505889893","3.9376461505889893","3.9376461505889893","3.976933002471924","3.976933002471924","3.976933002471924"
"210","2.8127083778381348","2.8127083778381348","2.8127083778381348","3.8504977226257324","3.8504977226257324","3.8504977226257324","4.308248519897461","4.308248519897461","4.308248519897461","3.747041702270508","3.747041702270508","3.747041702270508","3.581360101699829","3.581360101699829","3.581360101699829","3.587643623352051","3.587643623352051","3.587643623352051","3.719061851501465","3.719061851501465","3.719061851501465","3.572449207305908","3.572449207305908","3.572449207305908","3.362964153289795","3.362964153289795","3.362964153289795","4.002891540527344","4.002891540527344","4.002891540527344"
"216","3.5070159435272217","3.5070159435272217","3.5070159435272217","4.073963165283203","4.073963165283203","4.073963165283203","3.2193570137023926","3.2193570137023926","3.2193570137023926","2.9751949310302734","2.9751949310302734","2.9751949310302734","3.456638813018799","3.456638813018799","3.456638813018799","3.034341335296631","3.034341335296631","3.034341335296631","3.7306904792785645","3.7306904792785645","3.7306904792785645","3.788261890411377","3.788261890411377","3.788261890411377","3.5057623386383057","3.5057623386383057","3.5057623386383057","3.9391353130340576","3.9391353130340576","3.9391353130340576"
"222","4.274466514587402","4.274466514587402","4.274466514587402","3.87325382232666","3.87325382232666","3.87325382232666","3.912405490875244","3.912405490875244","3.912405490875244","3.5617177486419678","3.5617177486419678","3.5617177486419678","3.8336000442504883","3.8336000442504883","3.8336000442504883","3.8947882652282715","3.8947882652282715","3.8947882652282715","3.805696487426758","3.805696487426758","3.805696487426758","3.8305912017822266","3.8305912017822266","3.8305912017822266","3.9612410068511963","3.9612410068511963","3.9612410068511963","4.069847583770752","4.069847583770752","4.069847583770752"
"228","3.671924114227295","3.671924114227295","3.671924114227295","3.679443836212158","3.679443836212158","3.679443836212158","3.701589345932007","3.701589345932007","3.701589345932007","3.1079421043395996","3.1079421043395996","3.1079421043395996","3.9853298664093018","3.9853298664093018","3.9853298664093018","3.2070155143737793","3.2070155143737793","3.2070155143737793","4.318490982055664","4.318490982055664","4.318490982055664","3.4544742107391357","3.4544742107391357","3.4544742107391357","3.614539384841919","3.614539384841919","3.614539384841919","4.066384315490723","4.066384315490723","4.066384315490723"
"234","3.521028518676758","3.521028518676758","3.521028518676758","3.6801998615264893","3.6801998615264893","3.6801998615264893","3.796050548553467","3.796050548553467","3.796050548553467","3.847343921661377","3.847343921661377","3.847343921661377","4.521222114562988","4.521222114562988","4.521222114562988","3.8780031204223633","3.8780031204223633","3.8780031204223633","3.1241841316223145","3.1241841316223145","3.1241841316223145","3.001894474029541","3.001894474029541","3.001894474029541","3.7122092247009277","3.7122092247009277","3.7122092247009277","3.8482322692871094","3.8482322692871094","3.8482322692871094"
"240","3.8268070220947266","3.8268070220947266","3.8268070220947266","3.3372185230255127","3.3372185230255127","3.3372185230255127","3.587553024291992","3.587553024291992","3.587553024291992","2.935354232788086","2.935354232788086","2.935354232788086","4.0437541007995605","4.0437541007995605","4.0437541007995605","3.5705208778381348","3.5705208778381348","3.5705208778381348","3.5031566619873047","3.5031566619873047","3.5031566619873047","3.2302238941192627","3.2302238941192627","3.2302238941192627","3.7849555015563965","3.7849555015563965","3.7849555015563965","3.423314094543457","3.423314094543457","3.423314094543457"
"246","3.3342199325561523","3.3342199325561523","3.3342199325561523","3.3967065811157227","3.3967065811157227","3.3967065811157227","3.566218376159668","3.566218376159668","3.566218376159668","3.729811191558838","3.729811191558838","3.729811191558838","3.3071720600128174","3.3071720600128174","3.3071720600128174","3.329648494720459","3.329648494720459","3.329648494720459","4.2560319900512695","4.2560319900512695","4.2560319900512695","3.671701669692993","3.671701669692993","3.671701669692993","3.57397723197937","3.57397723197937","3.57397723197937","3.3765952587127686","3.3765952587127686","3.3765952587127686"
"252","3.819991111755371","3.819991111755371","3.819991111755371","3.279069423675537","3.279069423675537","3.279069423675537","4.128927230834961","4.128927230834961","4.128927230834961","3.550807237625122","3.550807237625122","3.550807237625122","4.009138107299805","4.009138107299805","4.009138107299805","3.3313310146331787","3.3313310146331787","3.3313310146331787","3.5621347427368164","3.5621347427368164","3.5621347427368164","3.5579159259796143","3.5579159259796143","3.5579159259796143","3.3703339099884033","3.3703339099884033","3.3703339099884033","3.620457649230957","3.620457649230957","3.620457649230957"
"258","4.06433629989624","4.06433629989624","4.06433629989624","3.2730422019958496","3.2730422019958496","3.2730422019958496","3.4218640327453613","3.4218640327453613","3.4218640327453613","3.911977529525757","3.911977529525757","3.911977529525757","3.337768793106079","3.337768793106079","3.337768793106079","2.556699275970459","2.556699275970459","2.556699275970459","3.1123900413513184","3.1123900413513184","3.1123900413513184","3.8104400634765625","3.8104400634765625","3.8104400634765625","3.001213312149048","3.001213312149048","3.001213312149048","3.880079746246338","3.880079746246338","3.880079746246338"
"264","3.4129958152770996","3.4129958152770996","3.4129958152770996","3.4350485801696777","3.4350485801696777","3.4350485801696777","3.3854470252990723","3.3854470252990723","3.3854470252990723","4.351588726043701","4.351588726043701","4.351588726043701","3.896341323852539","3.896341323852539","3.896341323852539","2.752213478088379","2.752213478088379","2.752213478088379","3.2103381156921387","3.2103381156921387","3.2103381156921387","3.982358455657959","3.982358455657959","3.982358455657959","3.0882246494293213","3.0882246494293213","3.0882246494293213","4.086043834686279","4.086043834686279","4.086043834686279"
"270","3.560516834259033","3.560516834259033","3.560516834259033","3.3636302947998047","3.3636302947998047","3.3636302947998047","3.7468671798706055","3.7468671798706055","3.7468671798706055","3.3873324394226074","3.3873324394226074","3.3873324394226074","3.758389472961426","3.758389472961426","3.758389472961426","3.368764638900757","3.368764638900757","3.368764638900757","3.5210556983947754","3.5210556983947754","3.5210556983947754","2.508164644241333","2.508164644241333","2.508164644241333","3.7703847885131836","3.7703847885131836","3.7703847885131836","3.651690721511841","3.651690721511841","3.651690721511841"
"276","3.0908854007720947","3.0908854007720947","3.0908854007720947","3.953164577484131","3.953164577484131","3.953164577484131","3.6134538650512695","3.6134538650512695","3.6134538650512695","3.9990031719207764","3.9990031719207764","3.9990031719207764","4.1312360763549805","4.1312360763549805","4.1312360763549805","3.608323097229004","3.608323097229004","3.608323097229004","3.172435760498047","3.172435760498047","3.172435760498047","3.5379767417907715","3.5379767417907715","3.5379767417907715","3.8365325927734375","3.8365325927734375","3.8365325927734375","3.6761951446533203","3.6761951446533203","3.6761951446533203"
"282","3.0249948501586914","3.0249948501586914","3.0249948501586914","3.968242883682251","3.968242883682251","3.968242883682251","3.364830493927002","3.364830493927002","3.364830493927002","2.8142385482788086","2.8142385482788086","2.8142385482788086","3.559178590774536","3.559178590774536","3.559178590774536","3.6890792846679688","3.6890792846679688","3.6890792846679688","3.6675753593444824","3.6675753593444824","3.6675753593444824","3.337110996246338","3.337110996246338","3.337110996246338","3.77341628074646","3.77341628074646","3.77341628074646","3.7432193756103516","3.7432193756103516","3.7432193756103516"
"288","3.501138925552368","3.501138925552368","3.501138925552368","4.217438697814941","4.217438697814941","4.217438697814941","3.253584384918213","3.253584384918213","3.253584384918213","3.849574089050293","3.849574089050293","3.849574089050293","3.8533506393432617","3.8533506393432617","3.8533506393432617","3.802854061126709","3.802854061126709","3.802854061126709","3.362454891204834","3.362454891204834","3.362454891204834","3.6436476707458496","3.6436476707458496","3.6436476707458496","3.1695940494537354","3.1695940494537354","3.1695940494537354","3.8741323947906494","3.8741323947906494","3.8741323947906494"
